id,class_label,tokens
1,1,unfortun vote abort chang complet open mind vote hillari amp switch parti right elect think trump redeem qualiti insan antithesi jesu hate fill hypocrit IN PRP VBD RB VBN VBG IN NN PRP VBD RB VBD PRP$ NN VBD NNP NNP VBN NNS RB IN DT NN DT VBP NN VBZ DT VBG NNS VBP JJ PRP DT NN IN NNP PRP NN VBN NNS
2,1,ghislain epstein attend clinton wed trump wed closer relationship IN NNP CC NNP VBD DT NNP NN CC RB DT NNP NN WP VBD DT JJR NN
3,1,today current illeg state woman seek elect abort past week ye pro life seek outlaw elect abort mother life risk choic nt like abstin contracept adopt parent NN RB PRP$ JJ IN NNS IN DT NN VBP DT JJ NN IN NNS UH JJ JJ VBP TO VB JJ NNS WRB DT NNS NN VBZ RB IN NN PRP VBP NNS PRP RB VBP RB VB PRP NN NNS NNP NN
4,1,nt french offici languag place pretti sure cub scout den care threat north VBZ RB JJ DT JJ NN IN NNS RB RB DT NNP NNP NN MD VB NN IN DT NNS IN DT NN
5,0,vaccin prevent vaccin get spread diseas expect protect mr gupta IN DT NN WDT VBZ RB VB DT VBN IN VBG CC VBG DT NN WRB VBP PRP VB DT TO VB NNP NNP
6,0,ok explain like genuin understand suggest peopl refus vaccin go ostracis point access food healthcar die way think state go activ mass murder UH RB VB PRP UH PRP RB VBP VB IN PRP VBG IN NNS WP VBP DT NN VBP VBG TO VB VBN IN DT NN PRP MD VB NN NN CC VB DT NN CC IN PRP VBP DT NN VBZ VBG TO RB JJ VB PRP
7,0,wonder pfizer agre pre condit fda approv fda approv comirnati vaccin avail manufactur vaccin fulli approv stock exist vaccin deplet approv age grant PRP VBP IN NNP VBD IN DT NN NN IN NNP NN RB TO VB PRP$ NNP VBD NNP NN JJ IN DT NNP IN JJ NNS NNS VBD RB VBN NNS IN VBG NNS VBD VBN CC NN IN DT NNS VBD VBN
8,0,send email school test posit send separ email child classroom close contact email PRP VBP RP DT NN WRB NN IN DT NN NNS JJ PRP VBP DT JJ NN IN PRP VBZ NN IN PRP$ NN NN DT VBZ PRP$ JJ JJ NN NN
9,0,wage earner pay incom tax pay incom tax mean wage earner pay incom tax RB DT JJ IN NN NNS VBP IN DT NN NNS DT JJ VBP IN DT NN NN DT VBZ DT NN IN NN NNS VBP IN DT NN NNS
10,0,believ scienc m doubl vaccin boost covid novemb got flu vaccin septemb wear mask regularli public space contract covid immedi famili knock wood thank PRP VBP IN NN PRP VBP RB VBN CC VBN IN NN IN NNP PRP VBD PRP$ NN NN IN NNP PRP VBP PRP$ NN RB IN JJ NNS PRP VBP RB VBN NNP CC DT VBZ PRP$ JJ NN VBZ IN NN PRP VBP JJ
11,0,know happen modifi vaccin promis offer explan remind fire pfizer lab ner madrid reason contempl VBZ NN VB WP VBD IN DT VBN NNS PRP VBD VBD PRP RB VB DT NN VBD PRP IN DT NN IN DT NNP NN NNP NNP IN DT NN WRB VBG PRP
12,1,asymptomat peopl nt spread vax nt matter belong cult want behead plu mrna gene therapi vaccin like quit advertis way JJ NNS MD RB VB PRP RB JJ CC RB VBZ RB VB PRP RB VBP IN DT NN WDT VBZ TO VB DT JJ NN CC DT VBZ DT JJ NN NN RB DT NN IN PDT DT NNS RB VB NN PRP DT NN
13,0,fda cdc approv cigarett bong covid treatment CC DT NNP CC DT NNP VBZ VBN NNS CC NNS IN DT JJ NN
14,0,worri pentagon give nato norfolk naval base PRP RBR JJ IN DT NNP VBG NNP PRP$ NNP JJ NN
15,0,vaccin suppos provid immun lesson symptom fauci pfizer ceo said jab effect infect transmiss chang vaccin peopl start get infect transmit DT NN VBZ VBN TO VB NN RB NN NNS DT NNP CC DT NNP NNP VBD DT NN VBD JJ IN NN CC NN PRP VBD IN WRB JJ NNS VBD VBG VBN CC VBG
16,0,medic fraud treason amp crime human nih cdc amp globalist accomplic davo flagrantli violat nuremberg code flaw pcr test amp fraudul death certif experiment vaccin violat articl geneva convent NNP NNP NNP NNP NNS IN NNP NNP NNP NNP NNP JJ NNS IN NNP VBP RB VBN NNP NNP JJ NNP NNS NNP JJ NN NNS DT JJ NN PRP VBZ IN NN IN NNP IN DT NNP NNP
17,0,macron angri dog leash leash vaccin mandatori free hand tie let bark harm NN VBZ DT JJ NN IN DT NN IN DT NN PRP MD VB RB VBN DT NN JJ PRP VBZ RB JJ PRP$ NNS VBP VBN VB PRP VB PRP MD VB PRP
18,0,purpos polit cnn nt care truth peopl die pre trump offic peopl die biden poll s sink time tell truth long tout ivermectin hydroxychloroquin oth treatment JJ CC JJ NNP VBD RB VB IN DT NN IN NNS VBD WRB NNPS NNP VBD IN NN NNS VBP RB VBG IN NNP CC PRP$ NN PRP VBP VBG IN NN TO VB DT NN WRB RB IN PRP VBP NNP NN CC JJ NNS
19,0,m total confus say hipaa protect vaccin statu govt offici make zero sens way govt bureaucrat vax statu plan use harass RB PRP VBP RB JJ VBP PRP VBG IN DT NNP VBZ VB PRP$ NN NN IN NNS NNS PRP VBP VBG CD NN DT NN PRP VBZ DT NN NNS VBP RB VB PRP$ NNP NN CC VBP TO VB DT TO VB PRP
20,0,elect fraud open obviou pervas outcom determin simpl fact halt count morn elect night time year audit read texa v pennsylvania DT NN NN VBD JJ JJ JJ CC NN NN DT JJ NN IN PRP VBD VBG IN IN DT NN IN NN NN IN DT JJ NN IN NNS MD VB VBN JJ IN JJ NN NNP NNP NN NNP
21,1,didyouknow constitut word oldest shortest written constitut major govern world DT NNP DT NNP VBZ NNS PRP VBZ DT JJS CC JJS VBN NNP IN DT JJ NN IN DT NN
