id,class_label,post_tokens
1,1,unfortun vote abort chang complet open mind vote hillari amp switch parti right elect think trump redeem qualiti insan antithesi jesu hate fill hypocrit
2,1,ghislain epstein attend clinton wed trump wed closer relationship
3,1,today current illeg state woman seek elect abort past week ye pro life seek outlaw elect abort mother life risk choic nt like abstin contracept adopt parent
4,1,nt french offici languag place pretti sure cub scout den care threat north
5,0,vaccin prevent vaccin get spread diseas expect protect mr gupta
6,0,ok explain like genuin understand suggest peopl refus vaccin go ostracis point access food healthcar die way think state go activ mass murder
7,0,wonder pfizer agre pre condit fda approv fda approv comirnati vaccin avail manufactur vaccin fulli approv stock exist vaccin deplet approv age grant
8,0,send email school test posit send separ email child classroom close contact email
9,0,wage earner pay incom tax pay incom tax mean wage earner pay incom tax
10,0,believ scienc m doubl vaccin boost covid novemb got flu vaccin septemb wear mask regularli public space contract covid immedi famili knock wood thank
11,0,know happen modifi vaccin promis offer explan remind fire pfizer lab ner madrid reason contempl
12,1,asymptomat peopl nt spread vax nt matter belong cult want behead plu mrna gene therapi vaccin like quit advertis way
13,0,fda cdc approv cigarett bong covid treatment
14,0,worri pentagon give nato norfolk naval base
15,0,vaccin suppos provid immun lesson symptom fauci pfizer ceo said jab effect infect transmiss chang vaccin peopl start get infect transmit
16,0,medic fraud treason amp crime human nih cdc amp globalist accomplic davo flagrantli violat nuremberg code flaw pcr test amp fraudul death certif experiment vaccin violat articl geneva convent
17,0,macron angri dog leash leash vaccin mandatori free hand tie let bark harm
18,0,purpos polit cnn nt care truth peopl die pre trump offic peopl die biden poll s sink time tell truth long tout ivermectin hydroxychloroquin oth treatment
19,0,m total confus say hipaa protect vaccin statu govt offici make zero sens way govt bureaucrat vax statu plan use harass
20,0,elect fraud open obviou pervas outcom determin simpl fact halt count morn elect night time year audit read texa v pennsylvania
21,1,didyouknow constitut word oldest shortest written constitut major govern world
